IP,host,country.code,city,postal.code,longitude,latitude
128.111.48.107,fleming.cs.ucsb.edu,US,Santa Barbara,93106,-119.8371,34.4329
24.189.153.176,ool-18bd99b0.dyn.optonline.net,US,Bronx,10469,-73.8394,40.8685
61.219.249.172,61-219-249-172.HINET-IP.hinet.net,TW,,,121,23.5
68.81.7.100,c-68-81-7-100.hsd1.pa.comcast.net,US,King Of Prussia,,-75.396,40.0893
128.111.48.69,longboard.cs.ucsb.edu,US,Santa Barbara,93106,-119.8371,34.4329
128.111.43.65,scooby.cs.ucsb.edu,US,Santa Barbara,93106,-119.8371,34.4329
128.111.43.61,eeyore.cs.ucsb.edu,US,Santa Barbara,93106,-119.8371,34.4329
128.111.43.25,zonker.cs.ucsb.edu,US,Santa Barbara,93106,-119.8371,34.4329
128.111.43.58,marvin.cs.ucsb.edu,US,Santa Barbara,93106,-119.8371,34.4329
128.111.43.32,wacko.cs.ucsb.edu,US,Santa Barbara,93106,-119.8371,34.4329
128.111.43.38,homer.cs.ucsb.edu,US,Santa Barbara,93106,-119.8371,34.4329
128.111.20.70,,,,,
128.111.43.72,bullwinkle.cs.ucsb.edu,US,Santa Barbara,93106,-119.8371,34.4329
128.111.43.73,rocky.cs.ucsb.edu,US,Santa Barbara,93106,-119.8371,34.4329
128.111.43.21,calvin.cs.ucsb.edu,US,Santa Barbara,93106,-119.8371,34.4329
128.111.43.71,natasha.cs.ucsb.edu,US,Santa Barbara,93106,-119.8371,34.4329
128.111.41.12,felix.cs.ucsb.edu,US,Santa Barbara,93106,-119.8371,34.4329
128.111.43.59,taz.cs.ucsb.edu,US,Santa Barbara,93106,-119.8371,34.4329
128.111.43.39,lisa.cs.ucsb.edu,US,Santa Barbara,93106,-119.8371,34.4329
128.111.53.100,556eci15.engr.ucsb.edu,US,Santa Barbara,93106,-119.8371,34.4329
